animal_id,date,daily_km,mean_km,std_km,zscore,flag_hard_cap,flag_3sigma,is_outlier
178881.0,2019-05-08,2206.427504758149,28.19445116738665,181.24208094715107,12.018362635253125,True,True,True
178881.0,2019-05-17,1547.7244735371298,28.19445116738665,181.24208094715107,8.383980223736383,True,True,True
64791.0,2019-01-11,1064.218547033609,25.023219812840864,135.92293550296122,7.6454744254558,True,True,True
64791.0,2019-03-02,1026.7461572661266,25.023219812840864,135.92293550296122,7.369785928670311,True,True,True
64791.0,2019-05-12,1011.5695054878145,25.023219812840864,135.92293550296122,7.258129630767728,True,True,True
64789.0,2019-04-04,980.4025693399288,11.990110537733488,75.96961242705629,12.747366056816935,True,True,True
64794.0,2018-12-24,978.9578885867942,8.084551462958657,63.72801024195552,15.234640677431008,True,True,True
52231.0,2018-06-27,960.0627081494277,20.472149536941153,75.80794522779284,12.394354652261597,True,True,True
178881.0,2019-06-06,959.2678098928653,28.19445116738665,181.24208094715107,5.1371809121799545,True,True,True
64791.0,2018-12-26,952.2868777291095,25.023219812840864,135.92293550296122,6.821980812032029,True,True,True
52237.0,2018-10-22,949.6601171685741,10.566256310109933,67.79491507138206,13.851980784542338,True,True,True
52253.0,2018-08-18,949.4995528859359,14.564006804931966,93.1014858592793,10.042111975464463,True,True,True
64797.0,2019-05-31,945.1503541676321,9.95392100182198,61.30665020779996,15.254404375315655,True,True,True
52253.0,2018-12-22,934.677941722526,14.564006804931966,93.1014858592793,9.88291353704413,True,True,True
52252.0,2018-12-04,931.1566273576375,8.966695703591087,62.31791550959175,14.798151127376945,True,True,True
64795.0,2019-01-12,909.7533584461144,15.126109449977939,88.58298098739193,10.099312972132529,True,True,True
52236.0,2018-12-29,862.68805827325,6.44025237902946,55.72310272261305,15.36611861253637,True,True,True
64795.0,2019-02-13,848.3484094277785,15.126109449977939,88.58298098739193,9.40612170295323,True,True,True
64790.0,2019-01-07,518.7161405019534,5.517111744654544,35.81323486632002,14.329870805385653,True,True,True
178881.0,2019-10-29,478.3947674855678,28.19445116738665,181.24208094715107,2.483972342214811,True,False,True
178881.0,2019-10-28,476.63565219803075,28.19445116738665,181.24208094715107,2.4742664544963286,True,False,True
52237.0,2019-03-08,468.7396063072887,10.566256310109933,67.79491507138206,6.758225886333254,True,True,True
64792.0,2018-12-15,462.85022006583364,29.98328522059102,59.75655924170428,7.2438396778230745,True,True,True
64789.0,2019-05-31,404.9865235749533,11.990110537733488,75.96961242705629,5.173073818358136,True,True,True
64789.0,2019-05-30,402.30798843131106,11.990110537733488,75.96961242705629,5.137815837461972,True,True,True
64795.0,2019-01-07,390.70742132786165,15.126109449977939,88.58298098739193,4.239881156532093,True,True,True
178881.0,2019-04-08,344.1912918061166,28.19445116738665,181.24208094715107,1.743507021037087,True,False,True
178884.0,2019-07-24,323.3120063043093,4.662526587426567,21.98798541485773,14.49198158470511,True,True,True
52237.0,2018-10-15,273.1859753649662,10.566256310109933,67.79491507138206,3.873737709949794,True,True,True
178881.0,2019-09-12,262.7432227988502,28.19445116738665,181.24208094715107,1.2941187300749228,True,False,True
64798.0,2018-11-26,246.59450297500504,4.461729521677747,16.26641843102241,14.88543864035522,True,True,True
64792.0,2018-12-14,224.18831554879466,29.98328522059102,59.75655924170428,3.2499366227342517,True,True,True
52253.0,2019-01-10,219.6324631074218,14.564006804931966,93.1014858592793,2.202633549935454,True,False,True
64792.0,2018-12-09,217.75169765551996,29.98328522059102,59.75655924170428,3.1422226248911067,True,True,True
64797.0,2019-01-19,215.76269816489986,9.95392100182198,61.30665020779996,3.3570383712939043,True,True,True
52227.0,2018-10-24,210.06602771450173,2.8356268552911454,17.649196116521086,11.741633981007556,True,True,True
64791.0,2018-12-24,194.30670315461612,25.023219812840864,135.92293550296122,1.245437223051199,True,False,True
52231.0,2018-09-30,185.102359326008,20.472149536941153,75.80794522779284,2.1716748725265522,True,False,True
52252.0,2018-12-18,174.83942610072293,8.966695703591087,62.31791550959175,2.6617182080103645,True,False,True
52237.0,2018-10-11,169.38758111239517,10.566256310109933,67.79491507138206,2.3426731139800143,True,False,True
64791.0,2019-01-09,167.91860261456114,25.023219812840864,135.92293550296122,1.051297062360805,True,False,True
178881.0,2019-08-02,162.32465388150354,28.19445116738665,181.24208094715107,0.7400610388777665,True,False,True
64797.0,2019-01-14,157.64212007017878,9.95392100182198,61.30665020779996,2.409007808578108,True,False,True
64790.0,2019-03-27,120.27660159157153,5.517111744654544,35.81323486632002,3.204387715191869,False,True,True
64802.0,2019-03-23,91.17439669061004,4.389037797774947,8.647153729497116,10.036291895308096,False,True,True
64802.0,2019-03-22,90.78275860101404,4.389037797774947,8.647153729497116,9.991000912650989,False,True,True
178882.0,2019-05-17,83.36599197277216,4.297050428384998,6.708516818964321,11.786352136863846,False,True,True
52226.0,2018-11-07,78.20007684145294,3.8738835117297183,10.159662863571084,7.315812968187198,False,True,True
52226.0,2018-11-09,77.53107259626348,3.8738835117297183,10.159662863571084,7.2499639086098115,False,True,True
64798.0,2019-05-21,74.04758379470975,4.461729521677747,16.26641843102241,4.27788419239983,False,True,True
52234.0,2019-01-26,66.03280315580533,2.6946252889022344,4.735190551816147,13.37605681837032,False,True,True
64798.0,2019-04-05,65.43337465497228,4.461729521677747,16.26641843102241,3.7483140736754197,False,True,True
64793.0,2019-06-14,52.61628067066901,3.788900517180282,4.893810082105236,9.977375364857641,False,True,True
52226.0,2018-11-18,49.24377169294698,3.8738835117297183,10.159662863571084,4.465688359000322,False,True,True
