animal_id,avg_daily_km,max_daily_km,total_km,days_tracked
52231.0,14.05226134856003,136.50737329335647,2416.9889519523254,172
64792.0,21.40601808787128,134.08510163235138,2033.5717183477718,95
64797.0,4.799147364233001,20.089644434374105,1199.7868410582503,250
64791.0,5.1771403969860215,75.2217059047838,1113.0851853519946,215
64795.0,5.2042657667146335,107.65877072117165,1103.3043425435023,212
178881.0,4.022646626456222,84.23619479883098,1033.820182999249,257
52252.0,4.316855267474941,114.47979544075933,1010.1441325891362,234
52232.0,3.850334235912683,14.609207495705768,1004.9372355732103,261
52253.0,4.611746238260042,127.24336077866334,954.6314713198287,207
52237.0,3.571224561214607,68.29813464391124,928.5183859157979,260
64794.0,3.9355201077285904,49.95774924235208,920.9117052084902,234
64802.0,3.6644391379587367,28.182644424200934,875.800953972138,239
178882.0,3.6776909698801385,22.75369474205439,860.5796869519525,234
64789.0,3.917637036659788,52.01246015659675,850.127236955174,217
64798.0,3.0606382703256654,44.1159019600462,814.1297799066269,266
178884.0,3.233605153718572,65.71595593292645,721.0939492792415,223
52236.0,2.9020383050864,120.6276049256667,702.2932698309088,242
64793.0,3.2059431916116665,18.174995989385415,673.2480702384499,210
52234.0,2.3822663099282777,16.791680017902486,621.7715068912805,261
64790.0,2.6627548419081086,56.54890811422078,585.8060652197839,220
52226.0,2.339263840474789,33.610292478735296,577.7981685972729,247
52224.0,2.419842706229415,6.144364159911606,558.9836651389949,231
52227.0,1.3762578351558599,21.348887731590743,195.4286125921321,142
